ticker;pilar_1;pilar_2;pilar_3;pilar_4;pilar_5;pilar_6;pilar_7;pilar_8
A;10.071314432;0.5649174673564917;0.4130143112701252;0.7690058479532164;-0.0559006211180124;0.7867422590492804;0.8176718092566619;8.784399853467074
AAL;-1.5645968728885855;-0.2600870304091459;-0.2920131731703272;-2.038561750911933;0.3165625434414634;-5.425304425304425;-1.2379788101059497;-0.9078410327690328
AAP;5.79246681981132;0.3217049505864617;0.0781474162408692;0.0368366263235928;-0.069035560490751;1.663704544289046;0.7075468255454972;5.121424588909072
AAPL;6.9833768173359685;1.811084665804088;0.5958234816824729;0.9581808028789476;-0.1997078149719718;0.4775444084459836;0.8296754128693188;6.471969879143171
ABBV;7.331589348555771;0.800825010855406;0.9916713921179472;1.1740440760971935;0.11067347362319;1.299937645719243;1.331672145053547;3.4819384646749443
ABC;33.18690401894063;1.1298668814797337;0.3973063661084189;3.224964607499918;-0.057039496279336;1.874608192077909;1.1473267414509016;4.079415497651009
ABMD;19.95914886903113;0.678125105758926;0.903243626825719;3.327365876122496;0.0439890836763957;0.0396091322256306;2.4187261402451274;18.855700915839883
ABT;9.448110891369211;0.5126476467381428;0.5726542533771449;13.823899371069182;0.0158452431051243;0.924001276097976;0.9499436302142052;6.0611786505972844
ACN;7.068357715001484;1.3516329694758646;0.3968436050013322;0.7145293280493819;0.0236102606940687;0.2310040583502729;0.8835068384966077;5.161936119317429
ADBE;7.670848135249269;1.1666558808423215;1.1618830638341;1.8465944175579736;-0.0336931155192532;0.2426612792810323;1.5165180780120604;5.848399865638204
ADI;11.805262469273702;0.2076960047723314;0.3949279823664205;0.7264194869744555;0.1475036882417985;1.2418723030287728;1.632260642337759;7.973275181123122
ADM;5.643940072099299;-0.2556974931030347;0.4014762938120602;0.6984326018808777;-0.0017953321364452;-1.3393925178843673;3.669535283993116;-6.132415241937375
ADP;9.180757269604182;1.1991731140127246;0.2120874327533563;0.4990769585785162;-0.0480125055828494;0.462865224102711;0.5631003443484565;9.090211566269517
AEE;5.198858425627018;-0.1691480738876327;0.0351303221628622;0.892925430210325;0.0181368507831821;-5.82093316519546;19.46153846153846;-5.2801520504413615
AEP;4.406291302258346;-0.1507201828136928;0.0886294238536392;0.3008992993830388;0.0079370795320206;-5.877029384140615;0.2585519000588658;-5.146338952547072
AFL;2.1299543200040136;0.6941687495450023;0.0149537037037037;-0.0605994787141615;-0.0989088962454011;0.2781234706005733;-0.1757506527415143;1.484028509823114
AIG;62.739733150997154;-0.0215493313146606;0.0391548167434408;-2.5430637738330044;-0.0658224545997285;-14.127868852459017;-1.7313919627256844;-20.62917689555035
AIZ;2.192200566114032;0.5408595720340085;0.6142352363296414;1.6412625096227869;0.0932592843347041;0.5293962119027017;0.2690582959641255;1.5636896452264206
AJG;11.377871381266113;0.3679007457269188;0.3297129683745697;0.9581083999136256;0.0606472894476715;1.4439800530960751;1.173103448275862;7.124946005596613
AKAM;6.0670470453952365;0.3826631141551757;0.3828320141142854;1.9847884536989115;-0.0518422178483333;0.9967600113033552;1.2250695873952953;4.72798671042296
ALB;18.74181203721795;-0.1154032806911334;0.083327799435933;1.2547310847766635;-0.040680166615576;-3.428058837914761;43.40469250947245;-34.73725511449667
ALGN;3.901380926181081;0.7654482641992607;1.682604266420888;2.336041275959519;-0.0165449210214147;0.1386337669879624;3.828383653703612;4.955893361500194
ALK;4.08161661979914;0.2691771269177127;-0.221479894113198;-0.5377176015473888;0.0031639848966165;2.9010833725859637;0.3085106382978723;2.680062914743288
ALL;1.9985465993242857;0.7177597196628704;0.3087426020143287;-0.4985888993414863;-0.1392265193370165;0.3707491582491583;0.237359900373599;1.4688812821548822
ALLE;4.749413256435799;0.9143116352914492;0.1906818370567228;0.7672886937431395;-0.0294426919032597;0.8371700734272673;0.4877475662974152;4.494223012502481
AMAT;4.203000962386787;0.9661666666666666;0.5691250510273507;0.673202614379085;-0.151910531220876;0.4159622793398884;0.4626225490196078;4.536273248461848
AMCR;5.039562111236687;0.3137506254406466;0.4145197120298912;0.5743984053869533;0.3403041825095057;2.2094777498882965;0.5334287512990006;4.576903084436555
AME;7.422662961680936;0.5146384870340481;0.28983598322857;0.4528196398961069;-0.0034487401673985;0.7110466154853837;0.3846040214459532;6.375503682547374
AMGN;4.587461508096392;1.196555774950636;0.136986301369863;1.977766548762001;-0.1983584131326949;0.8831909427025673;-0.2027965376200894;3.0062424003509287
AMP;3.4204917906810035;1.2731366602334344;0.1181780538302277;0.8648648648648649;-0.2805904607397794;1.8207608460261315;1.082521117608837;2.411109675593734
AMT;11.012872355765884;0.2293993601645104;0.4041177088491724;1.0725643716199855;0.036103890644377;3.6935188026806935;0.6226201696512724;6.776414588796186
AMZN;11.69117530660419;0.2223766886584982;1.6414379364240497;10.00032970656116;0.0541666666666666;2.473033588810793;-3.27288161753357;16.390893165966165
ANET;13.04927544600942;0.9203601274507592;0.7908286183942762;0.9868903901455808;0.0515652246118076;0.1739472288267717;0.5431541921122482;10.845533055628108
ANSS;9.2273797788881;0.4435348395601499;0.7408947728829034;0.7536171509463802;0.010024944698075;0.4481261638144244;0.2800342338355754;7.860702831645961
AON;8.130810387858347;0.7161730420516363;0.2195439087817563;0.0236541598694942;-0.1029013539651837;1.4089703400048228;2.711433756805808;6.975988271039306
AOS;4.275711288413033;1.0038026521060843;0.1809323589281543;0.6428330522765598;-0.0576324747195277;0.2542010684798446;1.43755383290267;4.034203166585721
